subject,activity,mean
1,WALKING,-0.361578696981137
2,WALKING,-0.400013292931957
3,WALKING,-0.442747238633494
4,WALKING,-0.482944763124717
4,WALKING_UPSTAIRS,-0.403401343557494
5,WALKING,-0.403503870203487
6,WALKING,-0.460748246474913
6,WALKING_UPSTAIRS,-0.135329798640111
7,WALKING_UPSTAIRS,-0.412909352663086
8,WALKING_UPSTAIRS,-0.37476610343073
9,WALKING_UPSTAIRS,-0.437090267427885
10,WALKING_DOWNSTAIRS,-0.346243302520396
10,WALKING_UPSTAIRS,-0.590321938462515
11,WALKING_UPSTAIRS,-0.453789002956038
12,SITTING,-0.401139956429635
12,WALKING_DOWNSTAIRS,-0.457935375744017
13,SITTING,-0.417491640708796
14,WALKING_DOWNSTAIRS,-0.319470670659267
14,WALKING_UPSTAIRS,-0.624585453604651
15,WALKING_DOWNSTAIRS,-0.442925611316214
16,WALKING_DOWNSTAIRS,-0.487053998843303
17,SITTING,-0.442164244572875
17,WALKING_DOWNSTAIRS,-0.612762935149763
18,SITTING,-0.631758434274873
18,STANDING,-0.48381635192258
19,SITTING,-0.403478856408666
20,LAYING,-0.370681907151192
20,STANDING,-0.436610994007122
21,SITTING,-0.467911396063034
22,SITTING,-0.46810535563348
22,STANDING,-0.366337651980634
23,STANDING,-0.382919446806931
24,LAYING,-0.464413984096342
25,STANDING,-0.494014932134384
26,STANDING,-0.457007965923328
27,LAYING,-0.427833490296744
27,STANDING,-0.604814851063847
28,LAYING,-0.471059039893587
29,LAYING,-0.428535154223535
30,LAYING,-0.442699623408087
